id sire dam EBV sex
582 0 0 -10.73397816 2
583 0 0 2.60071342 2
584 0 0 -1.16585682 2
585 0 0 6.21535058 2
586 0 0 -2.05983672 2
587 0 0 3.63380370 2
588 0 0 2.72081273 2
589 0 0 -3.00613216 2
590 0 0 9.03089541 2
591 0 0 3.83950310 2
592 0 0 -5.23955701 2
593 0 0 -0.45781946 2
594 0 0 5.82195152 2
595 0 0 2.10902517 2
596 0 0 1.28468569 2
597 0 0 1.95143941 2
598 0 0 4.93865568 2
599 0 0 -3.24142230 2
600 0 0 10.29621730 2
601 0 0 -2.60963351 2
602 0 0 4.13695729 2
603 0 0 5.20038869 2
604 0 0 -5.96445161 2
605 0 0 -3.56124631 2
606 0 0 5.49937402 2
607 0 0 0.20108792 2
608 0 0 2.64509558 2
609 0 0 2.79248775 2
610 0 0 2.46718948 2
611 0 0 -6.31722539 2
612 0 0 -4.01222368 2
613 0 0 -2.84402862 2
614 0 0 1.40581371 2
615 0 0 -2.54680183 2
616 0 0 -6.15259826 2
617 0 0 1.63614031 2
618 0 0 2.05680443 2
619 0 0 -0.40765022 2
620 0 0 6.96055678 2
621 0 0 13.76693783 2
622 0 0 7.74741062 2
623 0 0 -2.20076996 2
624 0 0 3.36010631 2
625 0 0 1.05210603 2
626 0 0 2.91704090 2
627 0 0 3.63192307 2
628 0 0 1.06658609 2
629 0 0 2.26071509 2
630 0 0 -2.48717036 2
631 0 0 0.51220750 2
632 0 0 -9.39855568 2
633 0 0 7.66032788 2
634 0 0 4.19465543 2
635 0 0 -2.90200403 2
636 0 0 -4.35337678 2
637 0 0 1.65940252 2
638 0 0 1.12572830 2
639 0 0 5.18378075 2
640 0 0 -4.71956483 2
641 0 0 -3.90289140 2
642 0 0 1.40558206 2
643 0 0 3.92375554 2
644 0 0 3.99017757 2
645 0 0 3.54475655 2
646 0 0 -2.54397142 2
647 0 0 -0.86615288 2
648 0 0 -0.77117823 2
649 0 0 -6.36363174 2
650 0 0 5.08129153 2
651 0 0 3.60954787 2
652 0 0 -0.91630543 2
653 0 0 0.17323976 2
654 0 0 8.52746912 2
655 0 0 3.26260365 2
656 0 0 3.14082035 2
657 0 0 0.93028609 2
658 0 0 -0.82813745 2
659 0 0 -1.83866459 2
660 0 0 -2.63702449 2
661 0 0 3.18578165 2
662 0 0 -3.91358463 2
663 0 0 -7.04289283 2
664 0 0 9.40162072 2
665 0 0 7.53154483 2
666 0 0 2.02715064 2
667 0 0 -5.40020498 2
668 0 0 -4.33167248 2
669 0 0 1.36290195 2
670 0 0 1.11933719 2
671 0 0 0.05863724 2
672 0 0 3.63357299 2
673 0 0 0.04738508 2
674 0 0 -4.21729072 2
675 0 0 -1.47919277 2
676 0 0 11.16213429 2
677 0 0 2.20852611 2
678 0 0 12.45280097 2
679 0 0 3.87539219 2
680 0 0 -2.58967860 2
681 0 0 -7.60442043 2
682 0 0 1.01084035 2
683 0 0 -1.31564932 2
684 0 0 -2.98544692 2
685 0 0 4.92476897 2
686 0 0 5.20441679 2
687 0 0 0.07723684 2
688 0 0 6.46243864 2
689 0 0 -0.33014932 2
690 0 0 0.31629193 2
691 0 0 2.02224485 2
692 0 0 11.90758871 2
693 0 0 -4.97993564 2
694 0 0 -0.99685087 2
695 0 0 -6.08916214 2
696 0 0 -2.27720615 2
697 0 0 0.56888979 2
698 0 0 8.66133051 2
699 0 0 -2.09324362 2
700 0 0 -6.33969317 2
701 0 0 2.81956105 2
702 0 0 -1.34617398 2
703 0 0 -2.49697937 2
704 0 0 4.02271894 2
705 0 0 -10.14981895 2
706 0 0 -5.19418739 2
707 0 0 -5.67876052 2
708 0 0 -3.22106427 2
709 0 0 5.81115322 2
710 0 0 2.09930715 2
711 0 0 5.97047684 2
712 0 0 1.17423939 2
713 0 0 -4.54971399 2
714 0 0 0.37522934 2
715 0 0 2.13378784 2
716 0 0 0.85821722 2
717 0 0 -4.65090363 2
718 0 0 -2.94612453 2
719 0 0 1.96327021 2
720 0 0 2.81038502 2
721 0 0 -6.13237043 2
722 0 0 -7.23114163 2
723 0 0 1.62990981 2
724 0 0 -3.14631842 2
725 0 0 -2.61159314 2
726 0 0 5.00406578 2
727 0 0 0.39333546 2
728 0 0 7.17005039 2
729 0 0 1.47931431 2
730 0 0 3.90643743 2
731 0 0 -1.11142846 2
732 0 0 0.86710524 2
733 0 0 -11.46572197 2
734 0 0 -4.40156440 2
735 0 0 5.38401984 2
736 0 0 -1.11022205 2
737 0 0 -1.96232784 2
738 0 0 -1.33877311 2
739 0 0 0.98394902 2
740 0 0 3.81849190 2
741 0 0 7.25204295 2
742 0 0 0.54412608 2
743 0 0 3.84336388 2
744 0 0 -2.64687333 2
745 0 0 -1.85230491 2
746 0 0 10.69914087 2
747 0 0 -3.51832873 2
748 0 0 3.34576906 2
749 0 0 4.91656904 2
750 0 0 5.73986365 2
751 0 0 -6.38836887 2
752 0 0 -9.16379878 2
753 0 0 2.96877653 2
754 0 0 -3.38603515 2
755 0 0 -0.73297787 2
756 0 0 3.97233184 2
757 0 0 1.50151113 2
758 0 0 -0.36347190 2
759 0 0 -7.30252787 2
760 0 0 -0.71823612 2
761 0 0 1.48806760 2
762 0 0 0.55789137 2
763 0 0 0.34641130 2
764 0 0 8.62442906 2
765 0 0 6.40948922 2
766 0 0 2.64591025 2
767 0 0 -2.15686280 2
768 0 0 4.92950801 2
769 0 0 -2.34233506 2
770 0 0 -2.00992045 2
771 0 0 0.96955437 2
772 0 0 6.65691685 2
773 0 0 5.27420190 2
774 0 0 2.46029120 2
775 0 0 9.78669871 2
776 0 0 -4.07131194 2
777 0 0 0.24614571 2
778 0 0 3.04316037 2
779 0 0 -4.17901091 2
780 0 0 -7.63085254 2
781 0 0 0.62158180 2
782 0 0 1.22623797 2
783 0 0 3.28236153 2
784 0 0 2.99261500 2
785 0 0 4.76119442 2
786 0 0 4.06990827 2
787 0 0 -1.77831276 2
788 0 0 -9.23522417 2
789 0 0 3.84768778 2
790 0 0 -3.28248583 2
791 0 0 10.14989197 2
792 0 0 -4.21676021 2
793 0 0 1.62643950 2
794 0 0 -5.33258002 2
795 0 0 2.81826165 2
796 0 0 2.07614696 2
797 0 0 -2.96906592 2
798 0 0 -1.83941345 2
799 0 0 9.65258008 2
800 0 0 -2.97436182 2
801 0 0 1.26184774 2
802 0 0 -4.85556251 2
803 0 0 -8.57864183 2
804 0 0 10.88600750 2
805 0 0 -5.99943477 2
806 0 0 4.11828450 2
807 0 0 -11.81370921 2
808 0 0 -0.74879866 2
809 0 0 -5.21063614 2
810 0 0 2.66372975 2
811 0 0 -1.15280674 2
812 0 0 -0.45270204 2
813 0 0 -3.73934753 2
814 0 0 -10.56306660 2
815 0 0 -8.37037222 2
816 0 0 -1.95122921 2
817 0 0 1.92522462 2
818 0 0 -5.75878305 2
819 0 0 2.29856931 2
820 0 0 -5.61077454 2
821 0 0 -5.33859029 2
822 0 0 -3.84832031 2
823 0 0 -1.86998143 2
824 0 0 -5.82559197 2
825 0 0 0.52680844 2
826 0 0 6.72098226 2
827 0 0 0.05722472 2
828 0 0 -5.35650577 2
829 0 0 10.87260100 2
830 0 0 -8.52100180 2
831 0 0 -3.14392210 2
832 0 0 7.15179425 2
833 0 0 1.80546579 2
834 0 0 -0.34692091 2
835 0 0 -0.91009164 2
836 0 0 -1.57331983 2
